TITLE,CATEGORY,PUBLISHER,HOSTNAME
Facebook Responds To Flak Over Study That Tinkered With Users' News Feeds,t,AllFacebook,allfacebook.com
Autopsy Reveals WWE Star Ultimate Warrior Died from Heart Disease,e,Fashion Times,www.fashiontimes.com
Idris Elba welcomes a son with girlfriend,e,Zee News,zeenews.india.com
WATCH: First Woman Completes Insane American Ninja Warrior Finals Course,e,Gossip Cop,www.gossipcop.com
Samsung Galaxy S5 Vs .50 Caliber Rifle: Fight!,t,Ubergizmo,www.ubergizmo.com
Spirit Airlines racks up most complaints from travelers,b,KTAR.com,ktar.com
Twitter Continues Shaking Things Up By Hiring New CFO,b,TIME,time.com
3 reasons why 'X-Men: Days of Future Past' is the best X-Men movie yet,e,Massillon Independent,www.indeonline.com
World's smallest hedgehog unearthed,t,Independent Online,www.iol.co.za
"UPDATE 2 – BNP to pay US$9bn in US sanctions case, face dollar-clearing ban",b,International Financing Review,www.ifre.com
Jennifer Lawrence Stuns As A Bridesmaid At Her Brother's Wedding,e,Huffington Post,www.huffingtonpost.com
Ford Transit Skyliner concept by Galpin Auto Sports revealed ahead of New York  ...,t,WorldCarFans.com,www.worldcarfans.com
"Justin Bieber Rocks Full On, Fierce Suit At Gala In Cannes And It Was all That",e,The Inquisitr,www.inquisitr.com
"My God, Would You Look at Maleficent's Wings",e,Jezebel,jezebel.com
Chinese aircraft spots 3 suspicious objects in search for missing jet,b,Chicago Tribune,www.chicagotribune.com
"Why US stocks aren't overvalued, yet",b,CNBC.com,www.cnbc.com
BIZ BRIEFS,b,Himalayan Times,www.thehimalayantimes.com
New Dinosaur Species Dubbed The Chicken From Hell,t,The Escapist,www.escapistmagazine.com
Childhood obesity adds nearly $20k to lifetime medical costs,m,MyFoxAL,www.myfoxal.com
HOW I MET YOUR FATHER: MEG RYAN TO NARRATE,e,TVGrapevine.com,www.tvgrapevine.com
"Snapchat Settles With FTC, Faces 20 Years of Private OversightMay 08 05:41  ...",t,Latin Post,www.latinpost.com
GRAINS-Wheat to 3-1/2 month low ahead of monthly USDA report,b,Reuters,in.reuters.com
'I would do it again': NSA leaker Snowden,t,TODAYonline,www.todayonline.com
